g	sd
TCGA-AF-6655-01	0.447938157170465	0.324793905172273
TCGA-CM-6161-01	0.466793898480266	0.320334970752476
TCGA-EI-6883-01	0.518887410919662	0.346173216878355
TCGA-F5-6811-01	0.456460707830173	0.318944710504907
TCGA-D5-6930-01	0.50435623098244	0.308554717399585
TCGA-CM-6164-01	0.459548649002191	0.312111778935273
TCGA-AF-2687-01	0.416893312244576	0.306063085763498
TCGA-DY-A1H8-01	0.466863913411958	0.344768006276565
TCGA-G5-6641-01	0.439401154902294	0.31178150819947
TCGA-DC-6155-01	0.459774055144217	0.322440259172633
TCGA-RU-A8FL-01	0.462310282135985	0.319070849102811
TCGA-CK-4951-01	0.490782757760597	0.313363553975531
TCGA-F4-6704-01	0.449385832103985	0.312505517585978
TCGA-AZ-6599-01	0.420996438803012	0.323711765120314
TCGA-F5-6861-01	0.479700897407836	0.319745606433018
TCGA-CM-5860-01	0.46026760189351	0.313600207746627
TCGA-A6-6780-01	0.488457720872071	0.315946748363297
TCGA-A6-2686-01	0.484414686004802	0.309227852868135
TCGA-CM-4750-01	0.45027163295767	0.31435352097727
TCGA-CM-6677-01	0.465651933234381	0.30853043751267
TCGA-A6-A567-01	0.410028154393214	0.308963699950411
TCGA-F5-6814-01	0.462225362263015	0.3162021771984
TCGA-D5-6898-01	0.450327543651337	0.314410970378345
TCGA-AG-A01W-01	0.453296934663256	0.319073631167595
TCGA-F5-6813-01	0.501121293224288	0.337395051986692
TCGA-AG-3732-01	0.415981702170213	0.306551414554198
TCGA-EI-6885-01	0.454193530376542	0.325416457173374
TCGA-G4-6299-01	0.514394526877116	0.322334839365524
TCGA-A6-4105-01	0.494526606092533	0.326881294385472
TCGA-DM-A1D8-01	0.495491203827379	0.334528589141638
TCGA-DM-A285-01	0.439924013966797	0.292540019208563
TCGA-DC-4749-01	0.446391545845611	0.339595119780775
TCGA-DT-5265-01	0.503798969929017	0.323025569526964
TCGA-5M-AAT5-01	0.413178570153414	0.319441776950162
TCGA-DM-A0XD-01	0.472590597575695	0.323250527840926
TCGA-A6-6138-01	0.489218161111615	0.328511202196824
TCGA-D5-7000-01	0.471588112317326	0.309725296012276
TCGA-DM-A28F-01	0.434533187694876	0.31942892911135
TCGA-DY-A1DE-01	0.384106016903614	0.306519245304523
TCGA-A6-6142-01	0.417417184879166	0.305090070464319
TCGA-QL-A97D-01	0.463098250273572	0.318476180378284
TCGA-CK-6748-01	0.488290486402018	0.338404092902087
TCGA-DC-6160-01	0.458433358870893	0.327470888577132
TCGA-D5-6534-01	0.478484875100123	0.30953431349402
TCGA-AZ-4616-01	0.491634453919882	0.313663160925588
TCGA-CK-6751-01	0.487194564221068	0.316530844114731
TCGA-CM-6171-01	0.50274338817958	0.323132256320488
TCGA-DM-A1DA-01	0.466622961204978	0.34138675254358
TCGA-F5-6863-01	0.476812725465082	0.337337702766906
TCGA-G4-6317-01	0.474874335216338	0.335521297251813
TCGA-DM-A1D4-01	0.491835398570223	0.348558981655994
TCGA-D5-6530-01	0.457195369837382	0.322984819481304
TCGA-CK-4948-01	0.405860560372818	0.289859841837822
TCGA-AD-A5EJ-01	0.534266802253262	0.318892674742843
TCGA-A6-6651-01	0.48002076337789	0.318051076574695
TCGA-CA-5256-01	0.456004672716645	0.322258155089907
TCGA-DM-A0X9-01	0.457006155528784	0.326562160720685
TCGA-AY-A69D-01	0.494462465107028	0.3214990972616
TCGA-G4-6626-01	0.471469751902315	0.335332909338146
TCGA-CA-6716-01	0.513643861723266	0.343105553412636
