	pvalue	rho
f__Xanthomonadaceae|g__Thermomonas	0.578544469	0.17032967
f__Spirochaetaceae|g__Treponema	0.978311454	0.010989011
f__Dethiosulfovibrionaceae|g__Pyramidobacter	0.231501302	-0.357142857
f__Dethiosulfovibrionaceae|g__TG5	0.383492244	-0.263736264
f__Mycoplasmataceae|g__Mycoplasma	0.231501302	0.357142857
f__Mycoplasmataceae|g__Ureaplasma	0.669269054	-0.131868132
f__Verrucomicrobiaceae|g__Akkermansia	0.73695123	0.104395604
f__[Chthoniobacteraceae]|g__DA101	0.77850131	-0.087912088
f__Deinococcaceae|g__Deinococcus	0.96385958	0.016483516
undefined	0.105719185	0.472527473
