EC,I2,Q_test,model_p,Coefficient,C.lower,C.upper
EC:1.1.1.205,0,0.793800108717117,9.03568255838969e-06,-0.356763098708589,-0.514283925129382,-0.199242272287797
EC:1.1.1.206,8.49556303711036,0.424054916113885,0.190707239144419,-0.114502955738378,-0.286014933134758,0.0570090216580025
EC:1.1.1.21,67.899896160519,0.0563686248622428,0.432648473326132,-0.209997141061145,-0.734533675749492,0.314539393627202
EC:1.1.1.215,0,0.722025503677669,0.897734172697022,-0.0102498546616592,-0.166557778157462,0.146058068834143
EC:1.1.1.219,19.3404835210388,0.494792955446322,0.0195253723709377,0.227348671918961,0.0365438490329671,0.418153494804954
EC:1.1.1.22,0,0.710335665061702,0.498388594799431,0.0540040580004956,-0.102335278987861,0.210343394988852
EC:1.1.1.220,0,0.625357086795328,9.2614766459239e-09,-0.46429005195543,-0.622722319788058,-0.305857784122803
EC:1.1.1.23,61.1217393231954,0.0272634091349292,0.000536142157154952,0.52360583743852,0.227175052988821,0.82003662188822
EC:1.1.1.25,0,0.536903958680212,0.94338404894586,0.0056659953684785,-0.150706593566869,0.162038584303826
EC:1.1.1.251,0,0.927712815660209,0.798350429618919,0.0203655439349307,-0.135871093999611,0.176602181869472
EC:1.1.1.26,30.2301582884226,0.1762735082749,0.847460087898214,-0.0206582868330093,-0.231146236359786,0.189829662693767
EC:1.1.1.261,0,0.61636857019873,0.253038268228551,-0.0912227629039851,-0.247647267046391,0.0652017412384211
EC:1.1.1.262,66.5037236907518,0.0365851962913914,0.807238571667095,-0.0391083555625962,-0.353264555403937,0.275047844278745
EC:1.1.1.264,0,0.612793665276076,0.68879322567982,0.0319490127422075,-0.124405453341899,0.188303478826314
EC:1.1.1.267,0,0.867366136946288,0.0233836043472982,0.181113585789373,0.0245369947905123,0.337690176788233
EC:1.1.1.27,0,0.720067352193401,0.663649843346356,-0.0346843490413456,-0.191003659902179,0.121634961819488
EC:1.1.1.271,0.0144838865220443,0.455991104306001,0.268007838048344,0.0884491338033181,-0.0680581080941695,0.244956375700806
EC:1.1.1.275,0.0126069746486545,0.200211159948493,0.225878533817539,0.0968018846668116,-0.0598631120520577,0.253466881385681
EC:1.1.1.276,0.000118363754737558,0.374670475380309,0.432041918402118,-0.0627291373663591,-0.219209334515857,0.0937510597831384
EC:1.1.1.28,39.0190906305053,0.192327424889346,0.00622019926701813,-0.320996152284809,-0.550950187450684,-0.0910421171189336
EC:1.1.1.281,25.0914448385491,0.395256819334973,0.0828874261631424,0.177755304715148,-0.0231439330786007,0.378654542508897
EC:1.1.1.282,0,0.990219786366195,0.86604311527274,-0.0134433787401399,-0.169641496447338,0.142754738967058
EC:1.1.1.284,0,0.894125412539482,0.585905578296811,0.043434367469105,-0.112830481921444,0.199699216859654
EC:1.1.1.287,0.00094588321287808,0.43214398259458,0.525107510662517,-0.0507241493181387,-0.207165911811184,0.105717613174907
EC:1.1.1.289,0,0.939247487225339,0.300888924941091,-0.0824966647881835,-0.238790486658001,0.0737971570816338
