pathway,I2,Q_test,model_p,Coefficient,C.lower,C.upper
P562-PWY,0.0106689227403264,0.389978643024768,0.884998662546661,-0.0115455712880727,-0.168000266199306,0.144909123623161
P621-PWY,0.0132714960624956,0.388091835889925,0.704036941959193,-0.0303263466898829,-0.186794345116552,0.126141651736786
PANTO-PWY,32.6983680083773,0.253963971663751,0.0768768153498788,0.194647035198433,-0.0209997327387861,0.410293803135653
PANTOSYN-PWY,19.435966412719,0.320302715487698,0.154982737480907,0.138381081655083,-0.0523315394183396,0.329093702728505
PENTOSE-P-PWY,0,0.986821950349701,0.267668309140064,-0.0883809639679466,-0.244656656580361,0.0678947286444678
PEPTIDOGLYCANSYN-PWY,0,0.690778543280611,0.618683893414197,-0.0396994292914749,-0.19603231223964,0.11663345365669
PHOSLIPSYN-PWY,26.2241641510983,0.22701061261283,0.390562726407181,-0.0888985874791072,-0.291831940589135,0.114034765630921
POLYAMINSYN3-PWY,16.5204313300202,0.532269578815235,0.03541360479883,0.199282551855368,0.0136069681630239,0.384958135547712
POLYAMSYN-PWY,7.92437324817194,0.446329140910185,0.349041523085644,0.0814329382992804,-0.0890039446903702,0.251869821288931
POLYISOPRENSYN-PWY,0,0.497922930695382,0.412678002878005,-0.0653814323619196,-0.221810646774583,0.0910477820507438
PPGPPMET-PWY,73.2450638145827,0.00549772149680451,0.0274107718508258,-0.399166315314365,-0.753874915608907,-0.0444577150198234
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,0.00445935198508913,0.593546379236179,0.683047456521197,0.0325756244413654,-0.123794143492516,0.188945392375247
PRPP-PWY,0,0.679622494100557,0.130862999120815,0.120599308334349,-0.0358640083931427,0.27706262506184
PWY-1269,0,0.577119607133508,0.140106164932039,-0.117802614811178,-0.274295457562878,0.0386902279405222
PWY-1361,57.2944097052274,0.0796749522491132,0.762770950238277,0.0570185158501073,-0.313219817851454,0.427256849551669
PWY-1501,72.4169892867083,0.0377988226071371,0.562884868539777,0.167190897610392,-0.399193061387049,0.733574856607833
PWY-1541,28.9101238592483,0.160123867224067,0.302611734369261,0.109472100993384,-0.0986683919162575,0.317612593903026
PWY-1622,4.19027031743806e-05,0.245613596778098,0.70113548591627,-0.0306498199408752,-0.187175096252306,0.125875456370555
PWY-181,54.22646022888,0.0778265012637245,0.317794779305752,0.136521226329631,-0.131323353650694,0.404365806309957
PWY-1861,0.000385709287621861,0.276643079692987,0.883759982624443,0.0116740128198079,-0.144823567661397,0.168171593301013
PWY-1882,29.1454510349648,0.216641912564899,0.492984201454503,0.121125618359528,-0.225158193428841,0.467409430147897
PWY-2941,78.8690618187064,0.000306681089959419,0.0255243138075348,-0.455509951748202,-0.855256360867761,-0.0557635426286426
PWY-2942,30.7251003854118,0.220823604470864,0.00843149740673885,0.285542797506875,0.0730927975231312,0.497992797490618
PWY-3001,54.2730240848066,0.0664668940793345,0.00970987434914477,0.355997408654587,0.0861815401378675,0.625813277171307
PWY-3661,40.0276432691711,0.105186890430723,0.324211895191707,0.116313607482616,-0.114931427017537,0.347558641982769
PWY-3781,0,0.705560960903512,0.444669979858564,0.0609716445531986,-0.0953771335010935,0.217320422607491
PWY-3801,0,0.665677599050897,0.209128551786895,0.100238244763346,-0.0561859413461669,0.256662430872858
PWY-4361,70.4469425914724,0.0207907980524768,0.671955959757347,-0.0964290534589366,-0.542740860149192,0.349882753231319
PWY-4722,0,0.576038354206676,0.912218235954398,-0.00879460827204166,-0.165153070830519,0.147563854286435
PWY-4984,42.6579032568058,0.139031706848941,0.291964208008529,0.127317741465745,-0.109475643634303,0.364111126565793
PWY-5005,0,0.532336996078124,0.331244254874088,-0.0775482411440723,-0.23398101707041,0.078884534782265
PWY-5022,50.4903710804833,0.104216651154631,0.157784957583796,-0.185261196300086,-0.442315845686224,0.0717934530860515
PWY-5028,0.00940621403165315,0.229599923745519,0.128562065829665,0.121499807412134,-0.0351890698493005,0.278188684673569
PWY-5088,18.5453171465122,0.160488109862916,0.00435266718691531,-0.276355072810027,-0.466312739720518,-0.0863974058995372
PWY-5097,33.9829834479077,0.184179426142527,0.00537688267597669,0.311302707001638,0.09210644678846,0.530498967214817
PWY-5100,46.6606025583384,0.117925415984776,0.775635638647467,0.035837944615239,-0.210612390008609,0.282288279239087
PWY-5101,61.5369861678222,0.0262285293718366,0.00191795353646958,0.470055126236794,0.173118419217588,0.766991833256001
PWY-5103,62.2013687759454,0.0238050024268953,0.00288350498000887,0.455024267574187,0.155741163917775,0.754307371230599
PWY-5104,35.1158534460103,0.199241759027581,0.00169417864243777,0.355499821245609,0.133542013640922,0.577457628850297
PWY-5121,0,0.686580675138957,0.313299755993467,0.0804522947036104,-0.0759298447421925,0.236834434149413
PWY-5154,51.1637468206969,0.0848655043300899,0.0151463857293108,0.322928240648629,0.0623418921064953,0.583514589190764
PWY-5177,0,0.702743293857657,0.0760103275365899,-0.141685094767298,-0.298194501893566,0.0148243123589689
PWY-5178,0.0038499236877259,0.375066896646656,0.439260151527112,0.0617525064052114,-0.0947330554777249,0.218238068288148
PWY-5180,71.9311586802919,0.0136554035168229,0.609661090403585,-0.089351301633539,-0.432359495434784,0.253656892167706
PWY-5181,0.00060867728327942,0.420575904993707,0.711240605512308,0.0295458326975224,-0.126883839842856,0.185975505237901
PWY-5182,71.9311586802919,0.0136554035168229,0.609661090403585,-0.089351301633539,-0.432359495434784,0.253656892167706
PWY-5183,33.8885972677332,0.197154356040637,0.696692658396427,-0.0714741467554289,-0.430865490094727,0.287917196583869
PWY-5188,38.3301780633726,0.206370027683405,0.00497641428658403,-0.327263179915693,-0.555645281727821,-0.098881078103565
PWY-5189,47.7906346592159,0.10352806544601,0.0043260358679786,-0.365977943579543,-0.617367539830961,-0.114588347328124
PWY-5198,0,0.482696008721929,0.517331621900601,-0.0556977852893612,-0.22430273682571,0.112907166246988
PWY-5265,0,0.522011637608768,0.000160303448706502,-0.30287755655109,-0.46014948021019,-0.145605632891991
PWY-5304,0,0.868405800413862,0.0845847615972491,-0.137661333696595,-0.294102478031215,0.0187798106380251
PWY-5345,0.000694639383100984,0.291568036295332,0.37225119482804,0.0712628789853714,-0.0852744273025708,0.227800185273314
PWY-5347,76.7333354517017,0.00606873277650201,0.153188651288018,-0.275563646496254,-0.653686338806184,0.102559045813677
PWY-5384,7.10968174789235,0.304267518954074,0.0223877484193583,0.197448324362693,0.0279919536092013,0.366904695116185
PWY-5415,32.074089055608,0.180188700190394,0.833383257367883,-0.022973436932144,-0.237016801569548,0.19106992770526
PWY-5417,0,0.514185980071306,0.450999880212344,0.0601535102659821,-0.0962628759833391,0.216569896515303
PWY-5419,60.6519131404846,0.0546605785675757,0.867975139215856,0.0245655006161691,-0.265076547003103,0.314207548235441
PWY-5420,54.8247803534475,0.0716901371056566,0.913865545523061,0.0148843387280295,-0.254824149369498,0.284592826825557
PWY-5430,0.00360610416724617,0.362040054178931,0.788438283974497,-0.0214208101024672,-0.177879599094492,0.135037978889557
PWY-5431,0,0.514185980071306,0.450999880212344,0.0601535102659821,-0.0962628759833391,0.216569896515303
PWY-5484,50.347435424207,0.0810664712939495,0.0112315126457991,-0.333711274832033,-0.591681997553157,-0.0757405521109097
PWY-5505,25.4324103818956,0.401966675031794,0.0063986239812618,0.281324042428857,0.0791013158728131,0.483546768984901
PWY-5507,48.6981454929295,0.0962917492117352,0.405518374037048,-0.10697985408807,-0.359053804255411,0.145094096079271
PWY-5509,37.5313384755665,0.189719498279482,0.102178240702742,0.188122776433592,-0.0374752844351048,0.413720837302288
PWY-5529,0.00279415930990951,0.461184493382276,0.333951507995921,-0.083143055191575,-0.251803670789521,0.0855175604063712
PWY-5531,0.0150114500998726,0.190494573568027,0.331438541629255,-0.0776221933042078,-0.234267074967437,0.0790226883590211
